District,Year,S.No,Size Group(HA),Total No. of Operational Holdings,Estimated No. of Holdings that took insititutional credit,No. of OH that took credit from PACS,No.of OH that took credit from PLDB/SLDB,No.of OH that took credit from CBB,No. of OH that took credit from RRBB,Amount of Credit through Short-Term Loans,Amount of credit through medium-term loans,Amount of credit through long-term loans,Amount of ST-Loans from PLDB/SLDB,Amount of MT-Loans from PLDB/SLDB,Amount of LT-Loans from PLDB/SLDB,Amount of ST-Loans from PAC/CBB,Amount of MT-Loans from PAC/CBB,Amount of LT-Loans from PAC/CBB,Amount of ST-Loans from RRBB,Amount of MT-Loans from RRBB,Amount of LT-Loans from RRBB,Total Amount of ST-Loans,Total Amount of MT-Loans,Total Amount of LT-Loans,Total_Loan_(ST+MT+LT),"In the ST-Loan, Value of the quanitity of fertiliser given","In ST-Loan, Value of quantity of other inputs","In ST-Loan, amoutn given in cash","In ST-Loan, Total",Total
amritsar,2016,2,SMALL (1.0 - 1.99),207287,118570,110220,11481,24424,3758,5422432385,0,0,0,1708827500,248412500,1835747500,1721978750,841262500,287866250,151343750,87675000,7546046135,3582150000,1177350000,12305546135,2590151630,1081429375,3874465130,7546046135,8769
amritsar,2016,3,SEMI-MEDIUM (2.0 - 3.99),367545,221540,209064,24953,43836,7756,14884243703,0,0,0,5342934000,923928000,5798828400,4511736000,1279674000,297747600,573240000,364176000,20980819703,10427910000,2567778000,33976507703,7464979459,2893939084,10621901160,20980819703,16522
amritsar,2016,4,MEDIUM (4.0 - 9.99),304822,198532,186819,24011,45680,7028,19503485173,0,0,0,8151523160,2553390400,5341622440,7769978700,2907702600,337035820,450942800,549037500,25182143433,16372444660,6010130500,47564718593,9949436203,3565376320,11667330910,25182143433,18740
amritsar,2016,5,LARGE (10 AND ABOVE),57419,35137,32934,5387,11631,1592,5783140576,0,0,0,1103094300,989846550,2347227960,1971245430,2091716550,53257050,134673000,465234000,8183625586,3209012730,3546797100,14939435416,3294359295,1396412094,3492854197,8183625586,14814
alwar,2011,1,MARGINAL (BELOW 1.0),234183,64971,36373,408,8173,25339,1358302269,0,0,0,0,2452178,454879020,32695706,36782670,1027871282,320417926,120565418,2841052571,353113632,159800266,3353966469,171243764,55174005,2614634802,2841052571,12259
alwar,2011,2,SMALL (1.0 - 1.99),97847,44514,9872,17101,7052,19569,299499970,0,0,0,632567632,832492854,369791139,81098414,96965495,1386606585,265773608,146329747,2055897694,979439654,1075788096,4111125444,139207191,182118830,1734571673,2055897694,9342
alwar,2011,3,SEMI-MEDIUM (2.0 - 3.99),53602,30109,4069,397,16775,13400,198208284,0,0,0,20051118,29778888,412933925,523264808,1182221888,1295679454,492542821,162791259,1906821663,1035858747,1374792035,4317472445,120535015,173710185,1612576463,1906821663,5160
alwar,2011,4,MEDIUM (4.0 - 9.99),18239,11226,1334,0,1536,9988,99461189,0,0,0,0,0,197434141,77242771,66323636,559383253,693729058,812666749,856278583,770971829,878990385,2506240797,34059613,37812560,784406410,856278583,1616
alwar,2011,5,LARGE (10 AND ABOVE),1228,748,93,26,240,547,16831608,0,0,0,3603913,0,45649564,21089565,18820434,74080434,55420173,58596956,136561606,80113651,77417390,294092647,5045478,8742826,122773302,136561606,52
banswar,2011,1,MARGINAL (BELOW 1.0),163359,70020,66130,787,1968,4329,608364661,0,0,0,5904542,0,13777265,21649987,0,40150886,40544522,157454457,662292812,68099051,157454457,887846320,294439836,53337697,314515279,662292812,5510
banswar,2011,2,SMALL (1.0 - 1.99),46494,34999,29707,362,4589,3985,437129583,0,0,0,5072072,0,50116909,89365090,0,92987999,100837636,9057272,580234491,195274798,9057272,784566561,226854490,57060818,296319183,580234491,2052
banswar,2011,3,SEMI-MEDIUM (2.0 - 3.99),22426,17088,13655,58,2118,3355,306500438,0,0,0,5886089,0,27664619,75341942,0,148800335,35846283,67690026,482965392,117074314,67690026,667729732,158771370,52356763,271837259,482965392,882
banswar,2011,4,MEDIUM (4.0 - 9.99),6581,5007,3316,52,816,1421,96714376,0,0,0,526480,1579440,25929140,35405780,0,96661728,14530848,28429920,219305244,50463108,30009360,299777712,61295434,36643008,121366802,219305244,262
banswar,2011,5,LARGE (10 AND ABOVE),446,276,184,0,123,123,4905999,0,0,0,0,0,3998620,7689655,0,8689310,0,0,17593929,7689655,0,25283584,5044413,2629862,9919654,17593929,0
baran,2011,1,MARGINAL (BELOW 1.0),61279,20965,6769,0,5165,9441,112760485,0,0,0,0,0,142331165,0,0,315301831,5344098,0,570393481,5344098,0,575737579,44356020,14072793,511964668,570393481,1068
baran,2011,2,SMALL (1.0 - 1.99),43374,27996,6975,126,7355,14204,437671561,0,0,0,10145964,0,518458807,0,0,899693438,47812859,0,1855823806,57958823,0,1913782629,132721903,36271824,1686830079,1855823806,380
baran,2011,3,SEMI-MEDIUM (2.0 - 3.99),36517,27881,7260,108,6068,18095,578095533,0,0,0,3250771,0,589689952,0,86687240,1908744672,174458071,42476747,3076530157,177708842,129163987,3383402986,186594284,67399329,2822536544,3076530157,541
baran,2011,4,MEDIUM (4.0 - 9.99),19517,16655,5064,135,3916,12290,551473431,0,0,0,6753287,0,419379134,2836380,317404497,2043949900,164780207,401280324,3014802465,174369874,718684821,3907857160,167724640,42072979,2805004846,3014802465,674
baran,2011,5,LARGE (10 AND ABOVE),2520,2198,954,19,439,1756,148441362,0,0,0,0,5727272,50972727,3818181,53454545,458811815,14203636,138332726,658225904,18021817,197514543,873762264,28884545,6968181,622373178,658225904,209
bharatpur,2011,1,MARGINAL (BELOW 1.0),144537,68878,12713,334,11041,48178,237549236,0,0,0,13383055,0,421867368,26766111,10037291,3544502262,10037291,0,4203918866,50186457,10037291,4264142614,61896631,202050681,3939971554,4203918866,30780
bharatpur,2011,2,SMALL (1.0 - 1.99),61484,44467,1997,285,7132,35235,75606774,0,0,0,57774988,0,531244584,22824686,0,3454872978,213981438,0,4061724336,294581112,0,4356305448,15763299,433383740,3612577297,4061724336,18542
bharatpur,2011,3,SEMI-MEDIUM (2.0 - 3.99),40510,32763,948,189,4933,27417,82063583,0,0,0,94871194,0,652618945,57871428,0,3717243135,180255269,90127634,4451925663,332997891,90127634,4875051188,27038290,457184285,3967703088,4451925663,15652
bharatpur,2011,4,MEDIUM (4.0 - 9.99),19151,15655,345,197,2369,13524,43435257,0,0,0,34550773,0,378084175,45409587,6416572,3010902449,278133724,234204883,3432421881,358094084,240621455,4031137420,50542845,438103803,2943775233,3432421881,8685
bharatpur,2011,5,LARGE (10 AND ABOVE),1658,1465,65,65,361,1198,3857722,0,0,0,15430891,5745544,89220098,23474653,14774257,412201780,49739999,0,505279600,88645543,20519801,614444944,3365247,69849405,432064948,505279600,867
bhilwara,2011,1,MARGINAL (BELOW 1.0),143420,42329,27902,2511,8370,7812,459111416,0,0,0,54410311,13951361,204666478,43249221,41854085,163230933,145512704,0,827008827,243172236,55805446,1125986509,111024937,46318521,669665369,827008827,8091
bhilwara,2011,2,SMALL (1.0 - 1.99),86393,35324,22143,2516,6710,9897,691781462,0,0,0,182012436,58713689,261527547,140912854,13420271,342216931,326280359,102329572,1295525940,649205649,174463532,2119195121,143294952,62068757,1090162231,1295525940,7380
bhilwara,2011,3,SEMI-MEDIUM (2.0 - 3.99),59783,27348,15091,2807,5732,8774,630119839,0,0,0,138050763,213510714,224157001,125181624,93593737,414152289,372035107,64345694,1268429129,635267494,371450145,2275146768,111084067,45100482,1112244580,1268429129,3974
bhilwara,2011,4,MEDIUM (4.0 - 9.99),26836,14337,7285,1214,3035,5707,380591551,0,0,0,64964977,82875882,206734343,62839954,56464886,346378687,284844103,74375791,933704581,412649034,213716559,1560070174,53854144,24103828,855746609,933704581,2365
bhilwara,2011,5,LARGE (10 AND ABOVE),3311,1982,1012,331,467,798,59025391,0,0,0,33694293,16360235,28046117,47425205,11296352,60182293,85657517,8764411,147253801,166777015,36420998,350451814,11539808,6037705,129676288,147253801,465
bikaner,2011,1,MARGINAL (BELOW 1.0),3973,220,44,0,0,176,882888,0,0,0,0,0,0,0,0,10153222,441444,0,11036110,441444,0,11477554,0,0,11036110,11036110,0
bikaner,2011,2,SMALL (1.0 - 1.99),10457,1243,435,62,0,746,6971333,0,0,0,0,2178541,0,0,0,33300565,20851755,0,40271898,20851755,2178541,63302194,746928,0,39524970,40271898,0
bikaner,2011,3,SEMI-MEDIUM (2.0 - 3.99),37060,8706,1537,153,153,7381,29986307,0,0,0,30755186,0,6151037,0,0,495312282,357067717,70736929,531449626,387822903,70736929,990009458,768879,0,530680747,531449626,0
bikaner,2011,4,MEDIUM (4.0 - 9.99),110893,39084,9026,0,1719,28797,125506806,0,0,0,0,0,12894534,150436240,21490891,2503259038,2106107364,376090600,2641660378,2256543604,397581491,5295785473,8596356,20201437,2612862585,2641660378,1287
bikaner,2011,5,LARGE (10 AND ABOVE),61588,20753,4154,488,1221,16130,71363872,0,0,0,48879365,78206984,117310476,3910349,36659523,1831754205,1933178888,217513174,2020428553,1985968602,332379681,4338776836,15885793,8553888,1995988872,2020428553,0
bundi,2011,1,MARGINAL (BELOW 1.0),68877,25324,15058,0,6134,6134,598142368,0,0,0,0,0,241766635,231449028,0,296979777,226987360,16731255,1136888780,458436388,16731255,1612056423,35135635,54934287,1046818858,1136888780,3345
bundi,2011,2,SMALL (1.0 - 1.99),40526,21309,10948,0,6536,5719,524060007,0,0,0,0,0,360403600,266360403,81705645,313749677,199361774,349700161,1198213284,465722177,431405806,2095341267,76639895,47389274,1074184115,1198213284,3103
bundi,2011,3,SEMI-MEDIUM (2.0 - 3.99),28386,18320,8877,467,5840,6074,553118148,0,0,0,84106666,0,498331999,271010370,70088888,595171481,263884666,513985185,1646621628,619001702,584074073,2849697403,111791777,77097777,1457732074,1646621628,3502
bundi,2011,4,MEDIUM (4.0 - 9.99),12358,7944,4251,113,3231,2947,413584845,0,0,0,10203853,0,330264715,153057797,28344036,494036558,198124816,261898898,1237886118,361386466,290242934,1889515518,127264724,43649816,1066971578,1237886118,3172
bundi,2011,5,LARGE (10 AND ABOVE),1230,793,378,37,397,435,44185384,0,0,0,5676923,5676923,35953846,29141538,0,74651538,27816923,67082307,154790768,62635384,72759230,290185382,12110769,5393076,137286923,154790768,167
churu,2011,1,MARGINAL (BELOW 1.0),12003,5431,3072,71,1714,714,57407205,0,0,0,2857857,0,102525624,8930803,0,12860357,5001249,3572321,172793186,16789909,3572321,193155416,0,3572321,169220865,172793186,71
churu,2011,2,SMALL (1.0 - 1.99),27434,14198,8182,721,4091,1804,250154763,0,0,0,27674649,48129824,210255138,0,12032456,56552543,60763903,0,516962444,88438552,60162280,665563276,2406491,15040570,499515383,516962444,481
churu,2011,3,SEMI-MEDIUM (2.0 - 3.99),60389,36470,16276,1415,13445,8020,457163601,0,0,0,43522541,0,978962304,117947265,0,238017581,404559121,318457617,1674143486,566028927,318457617,2558630030,14153671,98839808,1561150007,1674143486,1178
churu,2011,4,MEDIUM (4.0 - 9.99),83033,53481,16541,3892,24974,13946,588690996,0,0,0,243260742,194608593,2560076050,475493663,168660781,510847558,1088186386,486521484,3659614604,1806940791,849790858,6316346253,8757386,156335570,3494521648,3659614604,1945
churu,2011,5,LARGE (10 AND ABOVE),32226,22457,6445,1841,9865,6576,283062661,0,0,0,242681510,26306938,1408210431,198354318,72344081,318313958,704762889,545868979,2009587050,1145798717,644519998,3799905765,0,43406448,1966180602,2009587050,1313
dausa,2011,1,MARGINAL (BELOW 1.0),62522,26192,15471,635,9537,9325,326046931,0,0,0,19074508,0,69939864,300741416,0,350970955,218297152,21193898,746957750,538113076,21193898,1306264724,27106995,0,719850755,746957750,22676
dausa,2011,2,SMALL (1.0 - 1.99),33188,19317,9888,340,6137,9660,318582068,0,0,0,25004657,0,66489657,243795410,56828767,332505116,157983972,173327739,717576841,426784039,230156506,1374517386,36654554,2045835,678876452,717576841,13068
dausa,2011,3,SEMI-MEDIUM (2.0 - 3.99),22994,15981,7240,238,4853,8672,334805370,0,0,0,17344955,0,115845204,318415183,14321522,538966629,262959065,75585813,989617203,598719203,89907335,1678243741,39583096,11775474,938258633,989617203,9149
dausa,2011,4,MEDIUM (4.0 - 9.99),12209,8899,3803,375,2488,5071,277590398,0,0,0,27235461,12913365,88280461,297946557,4695769,441613617,202152865,65975557,807484476,527334883,83584691,1418404050,21694453,8734130,777055893,807484476,4929
dausa,2011,5,LARGE (10 AND ABOVE),1977,1435,658,77,484,930,139436646,0,0,0,18413235,5330147,19963823,125985293,13470735,128272411,77568176,27716764,287672880,221966704,46517646,556157230,4903735,2480941,280288204,287672880,773
ganganagar,2011,1,MARGINAL (BELOW 1.0),1874,1038,785,60,181,272,24679370,0,0,0,12090322,0,4533870,0,0,0,25691935,2266935,29213240,37782257,2266935,69262432,6271854,3415516,19525870,29213240,693
ganganagar,2011,2,SMALL (1.0 - 1.99),7558,5095,4074,186,590,1617,196507999,0,0,0,19283785,6220576,29174502,11819094,6220576,54741069,130010040,38878600,280423570,161112919,51319752,492856241,45347999,10792699,224282872,280423570,4539
ganganagar,2011,3,SEMI-MEDIUM (2.0 - 3.99),21206,14755,11197,868,2422,5072,682202504,0,0,0,133268741,0,217772823,42503405,0,320832155,330749616,222114568,1220807482,506521762,222114568,1949443812,162198478,47393581,1011215423,1220807482,16541
ganganagar,2011,4,MEDIUM (4.0 - 9.99),59729,44397,32586,2022,8477,17032,2363417422,0,0,0,460022180,62217708,1284484588,261703235,38886067,1596895256,1762083271,448239702,5244797266,2483808686,549343477,8277949429,644497686,176853835,4423445745,5244797266,54905
ganganagar,2011,5,LARGE (10 AND ABOVE),24517,19632,13620,491,5135,8708,1206870534,0,0,0,90208269,13397267,1226385888,101595946,0,1237952195,1186729975,346096083,3671208617,1378534190,359493350,5409236157,405490636,93066353,3172651628,3671208617,25362
hanumangarh,2011,1,MARGINAL (BELOW 1.0),16737,8033,4832,0,350,4131,156508457,0,0,0,0,0,21008786,0,0,325405095,19678230,2451025,502922338,19678230,2451025,525051593,41429327,420175,461072836,502922338,3500
hanumangarh,2011,2,SMALL (1.0 - 1.99),30112,18176,10610,95,1720,10515,412295415,0,0,0,14339047,0,188797460,0,0,835966475,244719745,79533917,1437059350,259058792,79533917,1775652059,157528776,8603428,1270927146,1437059350,5447
hanumangarh,2011,3,SEMI-MEDIUM (2.0 - 3.99),49779,33365,18635,250,2251,20887,1080066719,0,0,0,6253643,1250728,229508705,18760929,25014572,2630782627,640373065,242641356,3940358051,665387637,268906656,4874652344,281814177,43675444,3614868430,3940358051,9629
hanumangarh,2011,4,MEDIUM (4.0 - 9.99),60488,44280,22285,434,4341,29520,1499103913,0,0,0,196803062,0,665657415,65118660,14470813,4867692208,1622901721,488389951,7032453536,1884823443,502860764,9420137743,703469651,243399081,6085584804,7032453536,15482
hanumangarh,2011,5,LARGE (10 AND ABOVE),19600,14791,6124,94,1224,12155,459714230,0,0,0,14134615,0,273269230,0,23557692,2427290383,541826922,211076923,3160273843,555961537,234634615,3950869995,266201922,19317307,2874754614,3160273843,5464
jaipur,2011,1,MARGINAL (BELOW 1.0),124510,45570,29119,2209,7028,11246,683901298,0,0,0,105030209,0,332763016,20082258,0,1029818193,15061693,0,2046482507,140174160,0,2186656667,29018862,55929088,1961534557,2046482507,58034
jaipur,2011,2,SMALL (1.0 - 1.99),85446,42649,25267,2852,7471,14671,666315786,0,0,0,188551745,13584419,495423786,10867535,40074038,1398651853,142636406,111392241,2560391425,342055686,165050698,3067497809,22006759,2852728,2535531938,2560391425,47814
jaipur,2011,3,SEMI-MEDIUM (2.0 - 3.99),71760,38409,20153,4193,7455,17474,579089220,0,0,0,380933765,52422077,540296882,92029870,58246753,2645567530,181729869,352742337,3764953632,654693504,463411167,4883058303,25978051,27958441,3711017140,3764953632,47759
jaipur,2011,4,MEDIUM (4.0 - 9.99),38365,23286,11238,2775,4093,13528,398288362,0,0,0,526911708,76313743,420280596,97126582,27750452,3065037427,90188969,548765189,3883606385,714227259,652829384,5250663028,9851410,17829665,3855925310,3883606385,28719
jaipur,2011,5,LARGE (10 AND ABOVE),8070,5661,2236,1027,1390,2810,158740224,0,0,0,373577528,0,110622471,43674719,30526966,684378314,35665168,203412359,953741009,452917415,233939325,1640597749,10095056,6044943,937601010,953741009,5106
jalore,2011,1,MARGINAL (BELOW 1.0),16007,8226,7448,237,475,396,204921296,0,0,0,8716683,0,14263663,792425,0,20444584,7924257,0,239629543,17433365,0,257062908,32330970,9112896,198185677,239629543,2060
jalore,2011,2,SMALL (1.0 - 1.99),30143,17998,16530,972,2361,555,534656253,0,0,0,20141635,13890783,107653571,22225253,38894193,4167235,12501705,6945391,646477059,54868593,59730367,761076019,58688559,35074228,552714272,646477059,4028
jalore,2011,3,SEMI-MEDIUM (2.0 - 3.99),46824,31704,28428,2299,4807,2508,1250765195,0,0,0,131692499,20903571,312717428,31355357,175589999,126466607,0,171409285,1689949230,163047856,367902855,2220899941,140576517,103054607,1446318106,1689949230,5643
jalore,2011,4,MEDIUM (4.0 - 9.99),50200,36686,30119,5248,6389,5932,1759578453,0,0,0,269254545,182545454,302340908,295495454,207645454,381063636,125043636,239590909,2442982997,689793635,629781817,3762558449,227383181,191900909,2023698907,2442982997,8896
jalore,2011,5,LARGE (10 AND ABOVE),18641,13172,11056,2649,3380,2741,929171609,0,0,0,252987610,233012499,212452573,140721274,318907303,176358480,84981029,284183872,1317982662,478689913,836103674,2632776249,129893046,119613083,1068476533,1317982662,3380
jodhpur,2011,1,MARGINAL (BELOW 1.0),24029,4511,2934,550,550,825,140322022,0,0,0,19993595,0,11922786,0,0,10088511,13757061,0,162333319,33750656,0,196083975,1834274,0,160499045,162333319,458
jodhpur,2011,2,SMALL (1.0 - 1.99),34308,7157,3161,371,1766,1859,166147414,0,0,0,8367804,0,32541463,17665365,0,33750146,43233658,0,232439023,69266827,0,301705850,0,2603317,229835706,232439023,1763
jodhpur,2011,3,SEMI-MEDIUM (2.0 - 3.99),58204,14788,5575,1087,3943,4351,295099719,0,0,0,45284887,0,97233317,94513504,31957803,105256766,127831214,23118411,497589802,267629605,55076214,820295621,3399766,4759672,489430364,497589802,5028
jodhpur,2011,4,MEDIUM (4.0 - 9.99),80522,26250,7337,1505,8654,9030,424245584,0,0,0,143923668,0,250220233,298194789,63025397,202245677,560643831,18813551,876711494,1002762288,81838948,1961312730,1881355,6584742,868245397,876711494,14108
jodhpur,2011,5,LARGE (10 AND ABOVE),52531,19830,4649,1382,5152,9299,305383564,0,0,0,79801877,9425418,221110896,160232117,79801877,188508373,1120682278,56552511,715002833,1360716272,145779806,2221498911,6911973,46875748,661215112,715002833,14324
kota,2011,1,MARGINAL (BELOW 1.0),33361,16924,11120,133,7368,3885,260309585,0,0,0,1339799,0,198357270,0,0,141750754,31485281,0,600417609,32825080,0,633242689,89092627,60692903,450632079,600417609,11385
kota,2011,2,SMALL (1.0 - 1.99),30108,19507,11027,123,6938,7557,307930499,0,0,0,2478024,0,377898765,61950617,0,412219407,91067407,0,1098048671,155496048,0,1253544719,143612681,33155970,921280020,1098048671,13751
kota,2011,3,SEMI-MEDIUM (2.0 - 3.99),28182,19814,11713,115,8582,7538,579760567,0,0,0,5798765,0,795300678,180921481,0,601447950,229631111,0,1976509195,416351357,0,2392860552,306627118,95911580,1573970497,1976509195,17857
kota,2011,4,MEDIUM (4.0 - 9.99),17226,13318,7293,387,4966,6828,493276596,0,0,0,41125135,0,854549269,45004864,0,783472620,517167972,34141621,2131298485,603297971,34141621,2768738077,286044713,70843864,1774409908,2131298485,10238
kota,2011,5,LARGE (10 AND ABOVE),2160,1703,1044,71,735,807,153853714,0,0,0,21362637,0,206505494,26109890,0,106101098,107287911,0,466460306,154760438,0,621220744,56511296,18989010,390960000,466460306,1776
pali,2011,1,MARGINAL (BELOW 1.0),63193,25168,24084,0,1104,220,789249636,0,0,0,0,0,105837227,0,0,33143181,0,0,928230044,0,0,928230044,86061795,32811749,809356500,928230044,882
pali,2011,2,SMALL (1.0 - 1.99),50444,22023,19715,0,1953,355,831615521,0,0,0,0,0,128774295,71047887,14209577,0,17761971,35523943,960389816,88809858,49733520,1098933194,111189943,57282359,791917514,960389816,1773
pali,2011,3,SEMI-MEDIUM (2.0 - 3.99),46890,21752,18622,831,3159,0,951434680,0,0,0,207845744,0,202026063,0,0,0,0,0,1153460743,207845744,0,1361306487,145159468,50714361,957586914,1153460743,2492
pali,2011,4,MEDIUM (4.0 - 9.99),36181,19130,16637,264,3565,396,883001266,0,0,0,47537080,0,291824853,44235894,26409489,18486642,13204744,0,1193312761,104977718,26409489,1324699968,112042257,101214366,980056138,1193312761,2508
pali,2011,5,LARGE (10 AND ABOVE),15742,8214,6599,274,2405,206,398499449,0,0,0,74241746,0,171512183,26878261,8249082,17185589,3987056,0,587197221,105107063,8249082,700553366,61283812,46779174,479134235,587197221,1096
pratapgarh,2011,1,MARGINAL (BELOW 1.0),67281,35159,27806,248,496,7199,221729376,0,0,0,24826937,0,0,23089051,0,139775656,0,0,361505032,47915988,0,409421020,42876120,11792795,306836117,361505032,14149
pratapgarh,2011,1,MARGINAL (BELOW 1.0),67281,35159,27806,248,496,7199,221729376,0,0,0,24826937,0,0,23089051,0,139775656,0,0,361505032,47915988,0,409421020,42876120,11792795,306836117,361505032,574
pratapgarh,2011,2,SMALL (1.0 - 1.99),32556,23045,15044,863,739,7029,162323722,0,0,0,8632272,92488636,92488636,5241022,0,251815727,0,0,506628085,13873294,92488636,612990015,77616463,38845227,390166395,506628085,15043
pratapgarh,2011,2,SMALL (1.0 - 1.99),32556,23045,15044,863,739,7029,162323722,0,0,0,8632272,92488636,92488636,5241022,0,251815727,0,0,506628085,13873294,92488636,612990015,77616463,38845227,390166395,506628085,0
pratapgarh,2011,3,SEMI-MEDIUM (2.0 - 3.99),20347,15170,8545,1627,1139,4557,144276507,0,0,0,0,280381660,50460560,63075700,32555200,207376624,61041000,16277600,402113691,124116700,329214460,855444851,51347689,40612612,310153390,402113691,11147
pratapgarh,2011,3,SEMI-MEDIUM (2.0 - 3.99),20347,15170,8545,1627,1139,4557,144276507,0,0,0,0,280381660,50460560,63075700,32555200,207376624,61041000,16277600,402113691,124116700,329214460,855444851,51347689,40612612,310153390,402113691,0
pratapgarh,2011,4,MEDIUM (4.0 - 9.99),8369,6863,3074,853,683,2775,47647791,0,0,0,0,213921887,30316275,22416964,42698979,196714198,7472321,0,274678264,29889285,256620866,561188415,26819229,32280428,215578607,274678264,5805
pratapgarh,2011,4,MEDIUM (4.0 - 9.99),8369,6863,3074,853,683,2775,47647791,0,0,0,0,213921887,30316275,22416964,42698979,196714198,7472321,0,274678264,29889285,256620866,561188415,26819229,32280428,215578607,274678264,0
pratapgarh,2011,5,LARGE (10 AND ABOVE),707,622,252,84,67,319,9197733,0,0,0,0,24408333,7305666,0,3366666,41696166,0,10941666,58199565,0,38716665,96916230,9534399,9106833,39558333,58199565,165
pratapgarh,2011,5,LARGE (10 AND ABOVE),707,622,252,84,67,319,9197733,0,0,0,0,24408333,7305666,0,3366666,41696166,0,10941666,58199565,0,38716665,96916230,9534399,9106833,39558333,58199565,0
sawai madhopur,2011,1,MARGINAL (BELOW 1.0),75512,39910,32801,683,3416,8542,702582098,0,0,0,3075149,0,246011945,0,0,413436742,17084162,102504977,1362030785,20159311,102504977,1484695073,458573100,24088669,879369016,1362030785,9566
sawai madhopur,2011,2,SMALL (1.0 - 1.99),40697,25943,20993,184,6445,7365,840825616,0,0,0,9207466,0,508252126,313053846,147319456,444904760,0,311212352,1793982502,322261312,458531808,2574775622,538715948,80270689,1174995865,1793982502,11415
sawai madhopur,2011,3,SEMI-MEDIUM (2.0 - 3.99),29584,20777,16244,1056,4754,6603,913409961,0,0,0,69997857,39621428,604887142,462249999,290557142,407572428,369799999,449042856,1925869531,902047855,779221426,3607138812,532093333,60832099,1332944099,1925869531,12412
sawai madhopur,2011,4,MEDIUM (4.0 - 9.99),16630,13361,10162,167,2855,6131,816548453,0,0,0,50393939,0,378794444,419949494,41994949,534175757,272967171,503939393,1729518654,743310604,545934342,3018763600,444407353,71727373,1213383928,1729518654,7218
sawai madhopur,2011,5,LARGE (10 AND ABOVE),2178,1721,1356,0,493,780,161517192,0,0,0,0,0,98009999,69860377,10273584,111571132,28766037,93489622,371098323,98626414,103763206,573487943,88455565,12328301,270314457,371098323,861
shirohi,2011,1,MARGINAL (BELOW 1.0),28950,6138,4824,0,657,657,93445994,0,0,0,0,0,10965909,60312499,0,10965909,40573863,0,115377812,100886362,0,216264174,63838040,10965909,40573863,115377812,1754
shirohi,2011,2,SMALL (1.0 - 1.99),19485,7537,5404,0,1280,853,250318248,0,0,0,0,0,7111313,142226277,0,14222627,54045985,0,271652188,196272262,0,467924450,110225364,10666970,150759854,271652188,1279
shirohi,2011,3,SEMI-MEDIUM (2.0 - 3.99),15264,7633,5288,240,1322,1201,235209826,0,0,0,72113385,0,18028346,149034330,0,37258582,76319999,0,290496754,297467714,0,587964468,95430047,40022929,155043778,290496754,960
shirohi,2011,4,MEDIUM (4.0 - 9.99),10613,5549,4075,0,1103,679,235863312,0,0,0,0,0,45848160,76413600,0,16980800,65376080,0,298692272,141789680,0,440481952,53914040,25895720,218882512,298692272,1018
shirohi,2011,5,LARGE (10 AND ABOVE),3083,1725,992,0,470,365,58890525,0,0,0,0,0,41803389,52254237,0,28217288,51992966,0,128911202,104247203,0,233158405,24402728,31875084,72633390,128911202,0
sikar,2011,1,MARGINAL (BELOW 1.0),104168,35895,22513,336,9072,7392,496310116,0,0,0,13441032,0,439521754,0,0,334345677,201615483,0,1270177547,215056515,0,1485234062,14381904,67742802,1188052841,1270177547,34945
sikar,2011,2,SMALL (1.0 - 1.99),94861,41269,22195,0,14289,10945,617204583,0,0,0,0,0,1297041749,30404166,0,755239499,121616666,0,2669485831,152020832,0,2821506663,31863566,108755704,2528866561,2669485831,42867
sikar,2011,3,SEMI-MEDIUM (2.0 - 3.99),71649,38115,15694,0,18196,13419,450592599,0,0,0,0,0,2111939570,126238714,0,1761655570,113728571,0,4324187739,239967285,0,4564155024,39804999,105244419,4179138321,4324187739,40257
sikar,2011,4,MEDIUM (4.0 - 9.99),29801,17529,7231,0,6464,8436,294175312,0,0,0,0,0,1222936625,14243125,0,1711914062,111753750,0,3229025999,125996875,0,3355022874,40209437,142140909,3046675653,3229025999,18075
sikar,2011,5,LARGE (10 AND ABOVE),2412,1450,580,0,826,580,22444999,0,0,0,0,0,207253333,0,0,191173333,0,0,420871665,0,0,420871665,4466666,16714266,399690733,420871665,1695
tonk,2011,1,MARGINAL (BELOW 1.0),64178,31743,27221,1986,7351,3179,381789557,0,0,0,69542724,8345126,109281424,301020650,11921609,165710377,69542724,214588978,656781358,440106098,234855713,1331743169,354667895,13113770,288999693,656781358,16288
tonk,2011,2,SMALL (1.0 - 1.99),46813,34886,23119,3159,16370,7754,500611903,0,0,0,88312868,184695952,360287782,639011809,69645107,344994578,208217331,253163555,1205894263,935542008,507504614,2648940885,445699967,160140667,600053629,1205894263,16367
tonk,2011,3,SEMI-MEDIUM (2.0 - 3.99),43841,34762,20432,2570,24762,8524,731021612,0,0,0,102160354,213792530,832843687,1742544437,200261357,742049517,162374073,338279320,2305914816,2007078864,752333207,5065326887,466893118,399575533,1439446165,2305914816,19211
tonk,2011,4,MEDIUM (4.0 - 9.99),31265,26140,14391,1488,18361,9826,486344444,0,0,0,124067460,79403174,712147221,1738433253,286843968,858050555,253593888,737953253,2056542220,2116094601,1104200395,5276837216,331309745,329523174,1395709301,2056542220,17267
tonk,2011,5,LARGE (10 AND ABOVE),6220,5433,3353,335,4085,2408,183733921,0,0,0,26374019,32624509,273588528,422899018,103666666,196051960,77902450,234774509,653374409,527175487,371065684,1551615580,116411568,104124019,432838822,653374409,3227
