District,Year,S.No,Size Group(HA),Total No. of Operational Holdings,Estimated No. of Holdings that took insititutional credit,No. of OH that took credit from PACS,No.of OH that took credit from PLDB/SLDB,No.of OH that took credit from CBB,No. of OH that took credit from RRBB,Amount of Credit through Short-Term Loans,Amount of credit through medium-term loans,Amount of credit through long-term loans,Amount of ST-Loans from PLDB/SLDB,Amount of MT-Loans from PLDB/SLDB,Amount of LT-Loans from PLDB/SLDB,Amount of ST-Loans from PAC/CBB,Amount of MT-Loans from PAC/CBB,Amount of LT-Loans from PAC/CBB,Amount of ST-Loans from RRBB,Amount of MT-Loans from RRBB,Amount of LT-Loans from RRBB,Total Amount of ST-Loans,Total Amount of MT-Loans,Total Amount of LT-Loans,Total_Loan_(ST+MT+LT),"In the ST-Loan, Value of the quanitity of fertiliser given","In ST-Loan, Value of quantity of other inputs","In ST-Loan, amoutn given in cash","In ST-Loan, Total",Total
bongaigaon,2011,5,LARGE (10 AND ABOVE),11,11,11,0,0,0,3300,0,0,0,0,0,0,0,0,0,0,0,3300,0,0,3300,3300,0,0,3300,0
darrang,2011,1,MARGINAL (BELOW 1.0),72657,1002,501,501,0,0,751624,0,0,0,7516241,0,0,0,0,0,0,0,751624,7516241,0,8267865,0,0,751624,751624,501
darrang,2011,2,SMALL (1.0 - 1.99),14452,2576,1288,1288,0,0,2347299,0,0,0,18180063,0,0,0,0,0,0,0,2347299,18180063,0,20527362,184101,92050,2071148,2347299,92
darrang,2011,3,SEMI-MEDIUM (2.0 - 3.99),6746,1720,860,860,0,0,2037382,0,0,0,12111107,0,0,0,0,0,0,0,2037382,12111107,0,14148489,181100,271651,1584631,2037382,135
darrang,2011,4,MEDIUM (4.0 - 9.99),1984,326,163,163,0,0,268423,0,0,0,2392470,0,0,0,0,0,0,0,268423,2392470,0,2660893,0,0,268423,268423,0
darrang,2011,5,LARGE (10 AND ABOVE),34,34,34,0,0,0,6800,0,0,0,0,0,0,0,0,0,0,0,6800,0,0,6800,6800,0,0,6800,0
dhubri,2011,3,SEMI-MEDIUM (2.0 - 3.99),13151,52,52,0,0,0,184853,0,0,0,0,0,0,0,0,0,0,0,184853,0,0,184853,0,0,184853,184853,211
hailakandi,2011,1,MARGINAL (BELOW 1.0),42977,4550,2022,2528,0,0,6067341,0,0,0,38805702,0,0,0,0,0,0,0,6067341,38805702,0,44873043,0,0,6067341,6067341,505
hailakandi,2011,2,SMALL (1.0 - 1.99),16833,3155,1683,1472,0,0,3261393,0,0,0,17359031,0,0,0,0,0,0,0,3261393,17359031,0,20620424,0,0,3261393,3261393,0
hailakandi,2011,3,SEMI-MEDIUM (2.0 - 3.99),7287,1155,462,693,0,0,1908499,0,0,0,8096666,0,0,0,0,0,0,0,1908499,8096666,0,10005165,0,0,1908499,1908499,578
hailakandi,2011,4,MEDIUM (4.0 - 9.99),268,100,33,67,0,0,33500,0,0,0,670000,0,0,0,0,0,0,0,33500,670000,0,703500,0,0,33500,33500,0
hailakandi,2011,5,LARGE (10 AND ABOVE),8,8,8,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,2400,2400,0,0,2400,0
jorhat,2011,1,MARGINAL (BELOW 1.0),69605,1740,348,348,1044,0,278420,0,0,0,2784200,0,5742412,8700625,0,0,0,0,6020832,11484825,0,17505657,0,0,6020832,6020832,1392
jorhat,2011,2,SMALL (1.0 - 1.99),23862,2729,237,237,2255,0,391764,0,0,0,2433686,0,4273791,11634208,0,0,0,0,4665555,14067894,0,18733449,0,534223,4131332,4665555,592
jorhat,2011,3,SEMI-MEDIUM (2.0 - 3.99),14051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590
jorhat,2011,4,MEDIUM (4.0 - 9.99),2592,476,0,0,268,208,0,0,0,0,0,0,119172,1117241,29793103,1042758,0,5511724,1161930,1117241,35304827,37583998,0,0,1161930,1161930,178
jorhat,2011,5,LARGE (10 AND ABOVE),109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nagaon,2011,1,MARGINAL (BELOW 1.0),162437,23688,1353,0,22335,0,7106618,0,0,0,0,0,117090004,98139020,27072833,0,0,0,124196622,98139020,27072833,249408475,2368872,1353641,120474109,124196622,0
